place,info,문의 및 안내,주소,이용시간,휴일,주차,판매 품목,접근로,출입통로,보조견 동반,review,홈페이지,이용가능시설,시설이용료,주차 요금,이용요금,체험프로그램,부대시설,화장실,체험 프로그램,입장료,체험가능 연령,수용인원,장애인 주차 안내,엘리베이터,"영유아가족
기타상세",유도안내 설비,주요시설,대여안내,점자 블록,수유실,유모차,규모,안내 요원,지정현황,지체장애 기타 상세,유아용보조의자,대중 교통,주차요금,휠체어,점자 홍보물,오디오 가이드,예약안내 홈페이지,관람석,보유장비,강습안내,입점브랜드,시각장애 기타상세,객실,코스안내,자막 비디오 가이드,수화 안내
대구두류공원,"두류공원은 대구광역시의 중심 달서구에 위치하고 있으며, 대구에서 가장 큰 공원이다. 1977년 대구시는 이곳에 50만여 평의 공원을 조성하였으며, 초대형 야외음악당과 문화예술회관, 도서관 등 문화시설과 야구장, 테니스장, 수영장 등 체육시설, 2·28 기념탑과 인물동산 등의 기념시설을 이용할 수 있다.
두류산의 정상부에 자리 잡은 83 타워는 대구의 랜드마크이며, 200m 높이의 전망대에선 대구 시내를 한눈에 내려다볼 수 있다. 계절에 따라 봄이면 벚꽃축제가 진행되고, 여름이면 공원 안에 수영장을 비롯한 분수대 등 더위 식히기에 이용되며 가을이면 단풍명소로, 겨울엔 공원 내 스케이트장에서 즐거운 겨울나기를 할 수 있다. 북쪽 출입구에서 불과 500여 미터 거리에 지하철 2호선 두류역이 있으며, 지하철 1호선 서부정류장역에서 접근하면 공원 서남단의 성당못까지 600여 미터 거리라 접근성 또한 매우 뛰어나다.",,대구광역시 달서구 공원순환로 36,상시 개방,연중무휴,가능,,접근 가능한 접근로를 확보함,주출입구 무단차 원활한 이동이 가능한 유효폭을 확보함,보조견 동반 가능함,"대중교통을 타고 가기 좋은 위치에 있습니다. 공원이 크고 야외음악당처럼 잔디밭에서 돗자리 펴고 쉴 수 있는 공간도 넓고 산책로도 넓게 잘 되어있는 곳입니다. 봄이면 벚꽃보러, 여름에는 치맥페스티벌, 등등 여러 페스티벌들도 이곳에서 하기도해서 종종 즐겁게 다녀오는 곳입니다. 가족, 친구, 혼자서도 오기 너무 좋은 곳이에요!! 시 외곽이 아닌 도심지에 있어 접근성이 좋아 가볍게 산책하기도 좋고 가족들과 나들이 하기에도 좋은 공원입니다. 자전거 도로도 잘 되어 있고 근처 이월드도 있어 야경도 볼 수 있어 추천합니다 두류공원으로 운동도 하고 산책도 하러 갑니다. 정비도 잘 되어 있고 코스도 좋아서 운동하기에 너무 좋습니다. 시간 가리지 않고 방문해서 걷고 합니다. 대구두류공원, 가볍게 산책하기 좋은 공원이었습니다. 봄에 벚꽃이 만개하면 더 예쁜데, 평소에는 그냥 운동겸 가볍게 산책겸 방문하기 좋은 곳이더라구요. 자전거 타기도 좋아서 주말에 가족들과 같이 나들이 장소로 강추해요! 봄에는 벚꽃이 진짜 예쁘게 펴요 날이 좋아지면 산책하기도 좋고 밤이 되면 이월드의 83타워... 구 우방타워 불이 켜져요 산책하다가 출출하면 광장휴게소에서 음식을 먹을 수도 있고 직접 구워먹는 쥐포도 맛있어요 야당에서는 돗자리 깔고 피크닉을 할 수도 있고 근처에 두류도서관도 있으니 이용하기 좋아요 조명이 잘되어있어서 밤산책하기 좋은 곳. 규모가 생각보다 커서 다 둘러보려면 시간이 꽤 소요. 2.28 자유광장 전망대에서 83타워가 잘 보이므로 사진찍기 좋음. 아이들과 산책하고 자전거 타기도 좋은곳 평소 집이랑 가까워서 산책하기 좋은 장소라 추천합니다! 치킨맥주페스티벌 너무 즐겁고 맛있는것도 많아서 좋았어오","대구광역시 https://www.daegu.go.kr/env
달서 문화관광 https://dalseo.daegu.kr/tour",두류수영장 / 안병근올림픽기념관 / 두류테니스장 / 골프연습장 / 인라인스케이트장 / 83타워 / 문화예술회관 / 야외음악당,,,,,,장애인 화장실 있음,숲해설 / 숲체험 등,무료,,,장애인전용 주차구역 있음_무장애 편의시설,,,,,,점자블록 있음_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,
박물관 수,"박물관 수는 대구광역시 범어동에 위치한 소규모 박물관으로 2011년 개관하였다. 이곳은 자수와 민화를 전문콘텐츠로 전시 및 체험을 진행하는 곳이다. 베갯모 자수와 기타 전통자수 유물을 관람할 수 있으며, 민화 유물을 관람할 수 있다. 또한 박물관 뒤편에 교육 공간을 했는데 버선 만들기, 복주머니 만들기, 까치호랑이 만들기 등의 체험이 가능하다. 직접 만들어서 판매하는 자수 굿즈를 볼 수 있고 한국의 멋을 충분히 느낄 수 있는 곳이다.",,대구광역시 수성구 국채보상로186길 79,10:00~17:00,매주 일요일 / 명절 연휴,"가능
요금 (무료)",,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주 출입구는 경사로가 있어 휠체어 접근 가능함(수동문),,,박물관 수 http://www.museumsoo.org,,,,"[개인]
- 일반 5,000원
- 청소년, 어린이 3,000원
[단체]
- 일반 3,000원
- 청소년, 어린이 2,000원",,,,,,,,,,,,,,점자블록 있음(정문입구)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,
달서구청소년수련관,"달서구청소년수련관은 대구광역시 달서구 상화로 420에 위치한다. 부지 6,488.9㎡, 건물 4,124.88㎡에 지하1층, 지상3층의 크기로 수영장과 도서실 등을 갖추고 있다.
지역 청소년의 건강한 여가활동 공간을 제공하고 그들의 욕구에 맞는 다양한 프로그램을 개발, 제공하고 있으며 또한 지역주민의 문화예술적 역량을 키우는 프로그램과 주민들 간 소통의 기회도 제공하므로써 지역공동체 문화형성에 중요한 역할을 한다.",,대구광역시 달서구 상화로 420 (상인동),"주중 05:30~22:00
토요일 09:00~18:00",매주 일요일,"가능
요금 (무료)",,,,,,http://www.dsyc.or.kr/index.asp,,,,프로그램 별 이용 요금 홈페이지 참조,,,,,,,,,,,,"수영장, 체육관 겸용 다목적 강당, 취미교실, 독서실, 컴퓨터실, 어학실, 상담실, 지도실, 회의실, 예절실, 휴게실 등",,,,,,,,,,,,,,,,,,,,,,,,
팔공산온천관광호텔(온천),"팔공산 온천은 팔공산의 정기가 숨쉬는 비로봉 남동쪽 계곡부에서 발견된 물 맑은 온천으로 팔공산 화강암을 기반으로 지하 687m에서 용출되는 섭씨 28.9도의 염화나트륨 성분이 우세한 양질의 약알칼리성(ph 8.0) 온천수를 제공, 편리하게 이용할 수 있다.
시설로는 온탕, 냉탕, 물사시지를 위한 jet bench와 대욕장, 노천탕 등이 있으며 온천시설 뿐 아니라 팔공산호텔이 있어 각종모임이나 세미나장소, 여러종 류의 잔치 등으로 활용 가능한 장소이다. 팔공산에 위치하여 공원 내의 여러 관광지와 동화사, 팔공산케이블카, 올레길 등산길, 자전거길 등 다양한 방법으로 접근 가능하다.",,대구광역시 동구 팔공산로185길 11 (용수동),06:30~20:00,명절 당일,가능,,,주출입구경사로 있음,,"팔공산온천은 자연 속에서 온천을 즐길 수 있는 힐링 장소예요. 물이 맑고 따뜻해 몸이 가뿐해지고, 주변 풍경이 아름다워 더욱 편안한 시간을 보낼 수 있었습니다. 가족 여행지로도 추천하고 싶어요. 바데풀은 아이랑 부모랑 꼭 같이 이용하세요~~ 깊어요",http://www.palgongspa.co.kr/,토굴기치료실 / 노천온천 / 산소방 / 대욕장 / 연회장,,,,,,있음,,"- 성인 10,000원 (단체 25명 이상 9,000원)
- 소인(초등학생) 7,500원
- 유아(13개월~유치원) 7,000 원",,,장애인전용주차구역 있음_무장애 편의시설,장애인용엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,장애인용 객실 있음,,,
압곡사(군위),"677년(신라 문무왕 17년)에 현 압곡사에서 서북쪽으로 5km 지점에 의상대사가 창건하였으나 장소가 협소하여 현 사찰에서 남으로 8km에 있는 아미산 봉우리에서 나무로 오리를 만들어 하늘을 향해서 던지니 현재의 압곡사에 앉아 압곡사라고 이름을 지었다. 원래 이 골짜기에는 물이 없었는데 나무오리가 앉은 뒤부터 깨끗한 물이 흘러내린다는 전설이 있다. 솜씨가 뛰어나고 작가와 연대를 알 수 없는 탱화가 있었으나 1988년에 도난당했고 소장하고 있는 선사영정들은 어떤 경로를 거쳐 압곡사에 보관되었는지는 전혀 알 수 없으며, 모두 표구되어 유리로 덮인 액자 속에 잘 보관되어 있다.

(출처 : 군위군 문화관광 홈페이지)",,대구광역시 군위군 고로면 현리낙전길 836-144,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,http://www.gunwi.go.kr/tour,,,,,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구올레 팔공산 1코스] 북지장사 가는 길,"‘올레’란 제주어로 ‘거릿길에서 대문까지의, 집으로 통하는 아주 좁은 골목길’을 뜻한다. 제주올레와 함께 느리게 걷는 여행을 제안하며 대구녹색소비자연대에서는 2008년부터 ‘대구올레’를 개발 및 운영하고 있다. ‘대구올레 팔공산 1코스’ 북지장사 가는 길은 2009년 6월 개장했다. 올레길 진입로에 들어서면 오른편에 시인 특유의 육필로 아로새겨진 한국현대시 육필공원을 만날 수 있다. 조금 지나면 왼쪽에 유기장 이봉주 선생의 작품 등을 볼 수 있는 방짜유기박물관이 나온다. 북지장사 3.2㎞ 표석을 지나 걷다 보면 키가 큰 소나무들이 무리 지어 반긴다. 솔숲 구간은 한참 동안 이어지는 데 이곳이 팔공산 1코스의 백미이다. 이 길의 끝, 북지장사는 한때 동화사까지 말사로 거느렸을 정도로 큰 절이었지만 지금은 소박한 모습이다. 선방 바로 위로 솟아난 감나무도 볼거리인데, 감나무를 살리는 방향으로 건물을 지은 것이다. 개미 한 마라리도 함부로 죽이지 않는 불교의 가르침을 그대로 보여주는 듯하다.",,대구광역시 동구 도장길 10 (도학동) 도장마을입구,상시 개방,,,,,,,,https://www.daegu.go.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[대구올레 팔공산 1코스] 북지장사 가는 길
* 구간 : 시인의 길(현대시 육필공원) - 돌집마당 - 대구방짜유기박물관 - 북지장사
* 소요시간 : 1시간 20분 내외, 왕복 5km
* 코스특징 : 남녀노소가 걷기 좋은 코스, 푸른 솔숲을 사철 내내 볼 수 있다.",,
[대구올레 팔공산 7코스] 폭포골 가는 길,"출발지점인 탑골 등산로는 이전부터 동화사 주변의 비구니 수행 도량인 양진암, 내원암으로 가는 길이며 동화사 경내로 들어가는 길목까지 시원한 나무 그늘과 흙길로 이어져 여름철 체험 코스로 추천되는 코스이다. 탑골등산로부터 상상골까지는 미리 예약하여 문화해설사와 동행이 가능하다. 200여 개의 나무계단으로 이뤄진 깔딱 고개를 넘으면 시계 달린 나무가 인상적인 상상골이다. 이후 동화사에서 봉서루, 대웅전, 비로암, 통일대불등 불교문화유산과 만난 후 봉황문쪽에서 7코스의 백미인 폭포골 가는 길에 도착한다. 이 길에서 폭포골을 왕복할 수 있다. 특히 이 길은 시원한 계곡과 흙길 체험이 가능하며 이 길로 내려와 봉황문을 지나면 동화사 창건주인 심지대사가 새겼다는 마애불좌상을 볼 수 있다. 총 8.2km 거리로 3시간 내외 편도 코스이며 생태자원과 역사, 문화자원이 풍부하여 볼거리가 다채롭다. 역순 걷기가 가능한 코스이기도 하다.",,대구광역시 동구 팔공산로237길 147,상시 개방,,불가능,,,,,,https://www.durunubi.kr/,,,,무료,,,있음,,,,,,,,,탑골등산로 / 동화사 / 상상골 / 염불암 / 깔딱고개,,,,,,,,,,,,,,,,,,,,,,"[대구 팔공산 올레 7코스] 폭포골 가는 길
* 구간 : 탑골등산로 - 깔딱고개 - 상상골 - 동화사경내 - 약수암 가는 길 - 폭포골 왕복 - 동화사 봉황문(역순 걷기도 가능)
* 소요시간 : 8.2km, 약 3시간 내외(편도코스)",,
[대구올레 팔공산 8코스] 수태지 계곡길,"대구올레 팔공산 8코스는 동화사시설지구에서 출발하여 원점 회귀하는 순환코스이다. 총 7.1km, 소요시간 2시간 30분 정도 내외의 시원한 계곡을 따라 숲을 마음껏 즐기며 걷는 길로 여름 코스로 제격이다. 부인사 입구 문화해설사의 집에 신청하면 문화해설과도 함께 할 수도 있다.
동화사집단시설지구→대구시민안전테마파크→팔공산순환도로가로수길→수태지부근오솔길→너럭바위→부인사·서봉등산로접점→벼락맞은 나무→부인사→동화사집단시설지구 코스로 약간의 난이도가 있어 초등 5학년이상~성인에게 권하는 코스이며, 일부 구간은 휴대폰이 안 터지므로 일행과 함께 하길 권유한다. 또 여름철 계곡과 신록이 함께 하는 코스이지만 장마 후 또는 큰 비가 내린 뒤에는 탐방자제와 주의를 당부하는 코스이다.
계곡과 숲이 울창하여 여름에 즐기기 편안하다 안내하고 있지만 팔공산 올레길의 모든 코스는 팔공산이 가지고 있는 본연의 자랑거리인 봄 벚꽃길, 여름의 신록, 가을 단풍길, 겨울 설경을 사계절 내내 산책으로, 차량을 이용한 드라이브로, 등산으로 즐길 수 있다. 더불어 팔공산에 산재한 문화재와 사찰 등 팔공산은 언제나, 어느 곳을 가든 만족을 얻을 수 있는 곳이다.",,대구광역시 동구 동화사1길 1,,10월~익년 5월(산불방지기간) : 입산금지,가능 (동화사 주차장),,,,,"추천 드려요~ 조금만 들어가면 공용 주차장이 있는데... 거기에 차량을 대고 살살~ 걸어들어가면 계곡이 나옵니다. 시원한 물소리와 함께 맑은 공기 마시면서 낮은산책로를 천천히 거닐면, 피로감이 싹~ 날아가고 상쾌한기분이 든답니다. 그렇게 쭉 올라가면 산도 나오는데요~ ~ 그렇게 계곡길을 산책하고 가족단위 나들이 가기 좋은 소풍 장소 입니다",https://www.dong.daegu.kr,,,,,,,있음(남녀 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구올레 팔공산 4코스] 평광동 왕건길,"대구올레 팔공산 코스는 팔공산의 둘레를 따라 시점과 종점이 연결되도록 조성한 숲길이며 팔공산권의 역사와 문화 체험과 자연경관을 즐기며, 건강증진 활동을 할 수 있는 용도로 만든 길이다. 아울러, 팔공산 권역 자연공원의 생태적·문화적 가치를 보전하기 위한 차원에서 만들었다.
팔공산 올레길은 총 8개 코스로 개발이 되어 있고 그 중 4코스 평광동 왕건길은 [효자강순항나무-평광초교-평광지-모영재-재바우농원-첨백당-평광종점 정류장]으로 이어지는 길이다.
단양우씨의 집성촌인 평광동은 대구 사과의 명맥을 이어오고 있는 곳이기도 하다. 평광동 입구에서 시작하여 신숭겸 장군을 추모하는 영각인 모영재에 이르는 길이 왕건의 도피로로 추정되며, 왕건임도라는 별칭을 갖고 있다.
평광동에는 이야기가 있는 나무가 많다. 평광동 입구에서는 효자 강순항을 기려 그의 이름을 딴 효자강순항나무가 서 있다. 첨백당에 들어서면 1945년 해방을 기념하여 민초들이 심은 광복소나무가 위풍당당하게 자리해 있다.
광복소나무의 뒤편으로는 단양우씨의 재실인 첨백당이 있다. 우효중의 효행과 우명식의 충성심을 기려 1896년에 세운 건물이다. 첨백당 위편 재바우농원에서는 우리나라 최고령 홍옥나무를 볼 수 있으며 수령은 90세 정도이다.
보통 사과나무는 20~30년 정도 되면 생산성이 현저히 떨어져 새로운 사과나무로 대체된다지만 이 나무는 아직까지도 생산량이 다른 사과나무들 못지 않다고 한다. 10월말~11월 중순까지는 사과 수확기다.
올레꾼을 위해 이 나무는 가장 늦게 수확을 한다.
대구올레 팔공산길을 운영하고 있는 대구녹색소지자연대의 안내에 의하면 전체적으로 그늘이 적은 코스이며 한여름은 피하고 사과꽃이 피는 4월말, 사과가 열리는 10월 말에 가보길 추천하며 전구간 농로길로 흙길은 없다. 자전거, 유모차 등의 통행이 가능하다. 단지 이동시 차량주의를 요한다.",,대구광역시 수성구 신천동로86안길 14-6 (수성동4가),,,,,,,,,https://daegudonggu.grandculture.net/,,,,,,,있음(모영재 개방화장실),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,편도코스 7.4Km (2시간30분내외),,
[대구올레 팔공산 2코스] 한실골 가는 길,"'올레'란 제주어로 '거릿길에서 대문까지의, 집으로 통하는 아주 좁은 골목길'을 뜻한다. 제주올레와 함께 '느리게 걷는 여행'을 제안하며 대구녹색소비자연대에서는 2008년부터 '대구올레'를 개발 및 운영하고 있다. 대구올레 팔공산 2코스 한실골 가는 길은 2009년 7월 개장한 코스이다. 아파트 촌 사이에 옛 건물이 숨은 듯 자리해 있다. 바로 신숭겸장군유적지이다. 이 일대는 태조 왕건과 후백제 견훤이 목숨을 걸고 '공산전투'를 벌인 곳이다. 문화해설사의 이야기를 들으며 한 바퀴 둘러봄직하다. 유적지 오른편으로 한실골 가는 길이 이어진다. 이 길의 백미는 만디(언덕) 쉼터. 하늘과 땅이 닿아 만드는 풍경을 바라보며 걷는다. 그 끝에 올라서면 저 멀리 팔공산의 정상이 내다보인다.",,대구광역시 동구 신숭겸길 17,상시 개방,연중무휴,,,,,,,http://dgolle.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"길이 : 편도 A코스 9.4km / 편도 B코스 5.5km
소요시간 : 편도 A코스 3시간 30분 / 편도 B코스 1시간 20분
구간 : 신숭겸장군 유적지 - 한실골 가는 길 - 쉼터 - 소원만디(언덕) - 전망대 - 용진마을 - 노태우 전대통령 생가 - 파계사",,
국립대구기상과학관,"국립대구기상과학관은 기상기후, 기후변화 등에 대한 이해를 높이고 우리나라 기상과학의 역사와 발전과정을 한눈에 볼 수 있는 현장 학습의 장으로, 우리 삶과 밀접하게 연결된 기상기후를 느낄 수 있는 공간이다. 기상과학관은 총 3개의 전시관으로 구성되어 있으며, 전시관을 통해 몸으로 직접 배우고, 이해하고, 체험하며 생활 곳곳에 숨어있는 과학의 원리를 찾아볼 수 있다. 각 전시관에서는 시간, 습도, 바람을 이용하여 날씨 만들기, 날씨를 구성하는 요소와 날씨 속에 숨어 있는 과학요소 알아보기, 직접 만드는 일기예보, 기상캐스터 체험 등 기상기후에 대해 즐겁게 배워볼 수 있는 유익한 볼거리들이 준비되어 있다.",,대구광역시 동구 효동로2길 10 (효목동),10:00~17:30 (17:00 입장마감),"매주 월요일 (단, 월요일이 공휴일인 경우 다음의 첫 번째 평일 휴무) / 1월 1일 / 설날ㆍ추석 당일","가능(28대)
요금 (무료)",,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,가능,"체험공간이 기대이상으로 다양했어요 기상캐스터 체험을 해보는데 자신의 모습이 나오는게 신기했는지 아이가 나갈생각을 안하더라구요 ㅋ.ㅋ 체험끝나고 바로 앞에있는 망우당공원에서 피크닉도 하고 좋았어요 실내에 아이와 함께 갈수있는곳을 찾다가 국립대구기상과학관을 가족들과 방문하게 되었어요. 기상체험을 할수있는것이 많아서 다음에는 아이와 함께 다시 방문할 예정입니다!! 아기와 갈만한곳을 찾아보다가 기상과학관을 방문하였는데 주차하기 편하였고 주말이라 아이와 함께온 가족들이 많았네요! 아직 아기가 어려서 같이 체험을 못하였지만 볼거리도 많아 아이와 함께 다시 방문할 예정이예요^^ 여기는 아이들이 있는 부모님이라면 1년에 2번은 꼭 빙문헤 보시라 추천 드리고 싶어요 말로민 히는 기후변화보다 직접 바람도 맞아보고 해일이 왔을 때 어떻게 되는지 등등 체험하고 놀거리가 무궁무진하답니다 아쉬운 점이라면 무료에서 유료로 변했다는거 정도 ㅎㅎ 주차장도 널직하고 주변에 동촌 유원지와 먹거리들이 다양해서 하루 가족 소풍이다 생각하시고 나와도 좋아요 단순히 관람이 아닌 직접 눌러보고 느끼고 움직이는 등 체험을 할 수 있는 것들이 많아서 아이 뿐만 아니라 어른인 저도 재미있게 즐기다 온 거 같아요 체력이 부족해서 놀다 나왔는데 체력만 되면 오래오래 놀고 싶을 정도였어요^^ 과학관이 모두 기상 관련 주제로 꾸며져 있다고 해서 방문을 하게 되었고요,규모도 크고 버튼을 직접 눌러 지진과 해일도 간접적으로 체험도 해보고요,열기구 모양의 구조물을 타고 대구 시내를 날아보는 체험이 가장 인상적이었습니다.일기예보 진행자로 변신해서 날씨도 소개해 보고 사진도 메일로 받아볼 수 있어 즐거웠습니다. 아이와 함께 방문했어요 체험거리도많고 쉽게 기상에대해 접할수있어서좋아요 바깥도 넓고 안전하게 조성되어있어서 뛰어놀기도좋아서 날씨가 좋던 나쁘던 방문하기 괜찮은곳이에요 체험거리도 많고, 놀거리가 많아서 아이가 너무 좋아해요. 특히 열기구 체험이 인상깊었다고 하더라고요. 아이들이랑 추운 겨울 가벌만한 곳으로 적극 추천해요~",https://science.kma.go.kr/daegu/,,,,"[개인]
- 성인 2,000원
- 청소년, 어린이 1,000원
[단체(20인 이상)]
- 성인 1,000원
- 청소년, 어린이 500원
[면제]
- 유아(유치원생 포함) : 7세 이하
- 우대고객 : 경로우대자, 장애인 및 장애 정도가 심한 장애인동반 보호자 1인, 국가유공자 유족 및 가족, 기초 생활수급자(단, 차상위계층은 포함되지 않음), 과학기술유공자, 학생 인솔교사 및 단체관람을 위한 사전답사자, 국빈 및 수행자, 공무수행 목적자, 과학관 초대권 소지자, 기관장 인정자
※ 우대고객은 증빙서류 지참 필수",과학문화 프로그램,,장애인 전용 화장실 있음,,,,,장애인 전용 주차구역 있음(4대)_무장애 편의시설,엘리베이터 있음,기저귀교환대 있음,,,,점자유도로 있음_시각장애인 편의시설,수유실 있음,"대여가능(무료,신분증지참,1층 안내데스크,2대)",,,,,,,,대여가능(2대),,,,장애인 전용 관람석 있음(3D상영관 2석),,,,,,,,
수성구립 범어도서관,"달구벌대로 도심 중심에 자리 잡은 수성구립 범어도서관은 뛰어난 접근성으로 지역민 누구나 자연스럽게 도서관을 찾을 수 있는 환경을 구축하고 26만 여권의 장서와 함께 국제자료실, 범어미디어창작소, 크리에이티브팩토리, 스마트도서관, 스마트팜 등 다양한 시설을 겸비한 지역밀착형 도서관이다. 또한 지역 내 최초로 U-글래스를 적용한 현대적 감각으로 건물 외관과 책을 펼친 모양의 통풍구, 범어(泛漁)라는 지명을 살린 물고기 조형물, 지역 시인인 이상화 시비 등 우수하고 특색 있는 조경과 조형물을 장식해 도서관을 찾는 이들에게 다양한 볼거리를 제공하고 있다. 2023년 책이음 가입 공공도서관 중 대출률 전국 1위(478만 권), 책이음 가입 회원 수 전국 1위(11만 8천 명)를 기록하여 도서관 협력유공 책이음서비스 부분 우수 도서관으로도 선정되었다. 지역사회가 학교가 되는 ‘도서관 밖 도서관’, 10개년 계획의 범어도서관 인문학 특화 프로그램인 ‘수성인문학@Suseong’, 그리고 경증 치매노인 대상 독서 치유 프로그램인 ‘수성북테라피’ 및 글로벌 프로그램 등을 중점적으로 운영하고 있다.",,대구광역시 수성구 달구벌대로 2451,"평일 09:00~22:00
주말 09:00~17:00
※ 자세한 사항은 홈페이지 참조",매주 월요일 / 국경일 / 정부지정 공휴일(공휴일과 일요일이 겹칠경우 휴관),"가능
요금 (1시간 무료 / 이후 10분당 500원 씩 추가 요금 발생)",,주출입구는 계단이 있으나 무단차로 접근가능한 보조출입구 있음,,,,"https://library.daegu.go.kr/beomeo
https://www.instagram.com/beomeo1600",,,,,,,장애인 전용 화장실 있음,,,,,장애인 전용 주차구역 있음_무장애 편의시설,엘레베이터 있음,"유아자료실,어린이자료실 있음",,,,,수유실 있음(유아 자료실 내),,,,,,,,,,,,,,,,,,,,,
대구 칠성시장&별별상상 칠성야시장,"서문시장과 함께 대구 최대 규모의 전통시장이다. 동촌 및 하양 등지에서 사과와 농산물이 많이 집결하여 한때는 동천시장이라고 불리기도 했다. 1946년에 시장 공영화 정책에 따라 북문시장이라는 이름으로 상설시장이 개설되었고, 현재는 칠성시장과 청과시장, 삼성시장, 경명시장, 북문시장, 능금시장, 칠성원시장, 가구시장 및 대성시장, 꽃 시장 등 여러 개의 시장으로 이루어진 종합시장이다. 주요 취급상품으로는 제수품과 생필품, 채소, 과일, 수산물, 가전, 꽃 도매 등 다양하며 일명 돼지 골목, 닭 골목, 튀밥 골목 등도 칠성시장의 명물 골목으로 전통과 현대의 멋이 공존하는 시장이다.

별별상상 칠성야시장은 1950년대부터 시작된 오랜 역사를 품은 칠성시장의 신천둔치에 2019년 11월 개장하였다. 먹거리 60종에 금요일에서 일요일은 프리마켓까지 즐길 수 있고, 요일별 색다른 공연 프로그램은 볼거리까지 만족시킨다. 신천을 품은 별빛야행 [별별상상 칠성야시장]에서는 신천둔치 야경과 함께 신천변에 별빛 소원등 띄우기(유료), 공룡 포토존 등 다양한 이벤트도 체험해 볼 수 있다.
다양한 음식을 바로 구입해서 먹을 수 있는 휴게공간이 400석 마련되어 방문객의 편의를 제공한다. 시장 앞에는 대구의 남북을 잇는 도로인 신천대로와 칠성남로가 있어 접근이 편리하며, 시장 바로 옆에 대구 도시철도 1호선 칠성시장역이 있다. 칠성시장으로 가려면 1호선 칠성시장역의 1번 혹은 4번 출구로 나가면 된다.
볼거리, 먹을거리, 체험거리를 다 만족할 수 있는 별별상상 칠성야시장을 대구광역시 달성군청에서는 관광형 시장으로 소개하고 있다.",,대구광역시 북구 칠성시장로 28,"- 칠성시장 05:00~20:00(점포별 상이)
- 별별상상 칠성야시장 18:00~22:30(일, 월, 목) / 18:00~23:00 (금,토)","- 칠성시장 : 연중무휴(점포별 상이)
- 별별상상 칠성야시장 : 매주 화, 수요일","가능 (신천둔치 공영주차장)
- 최초 30분 500원
- 이후 10분당 250원
- 1일 최대 5000원",생필품 / 채소 / 과일 / 수산물 / 가전 / 주방용품 / 완구 / 꽃 / 공구.전통 / 퓨전 / 창작먹거리 / 등,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,"너무 복잡하지 않고, 라이브 공연도 계속 해서 좋았어요. 제가 갔을땐 아이들 놀 수 있는 비누방울 체험도 있어서 가족들과 시간 보내기 좋았습니다~~ 음식도 유명한건 다 있어서 종류별로 사서 먹기 좋아요~~ 대구를 소개할때 지인에게 추천해주는 곳 중 한군데입니다. 대구의 시장하면 칠성시장을 쉽게 떠올릴정도로 유명한 곳이고 간편하고 특색있는 먹거리들이 많아서 하나하나 맛보는 재미 또한 있습니다. 바로앞에 있는 신천을 끼고 산책길을 걷는 것 또한 추천드립니다. 밤에는 예쁜 조명들이 켜지면서 아주 멋진 추억을 남길 수 있을거에요. 대구대표 야시장 중 하나로 강 옆에 있어 늦여름에 가면 시원해서 구경하기 좋아요! 가끔씩 행사도하니 행사날 맞춰 방문하면 즐길거리가 더 많습니다 야시장으로 유명해서 대구사람들도 많이들 방문하는 곳입니다. 해가 지고 어두워지면 알록달록 예쁜 조명들과 함께 야경이 아주 예뻐서 기념사진 남기기에도 좋고 각종 음식들이 많아 기호에따라 골라먹을 수 있는 재미도 있습니다. 바로옆이 신천이라 낮에는 근처 산책하기에도 좋아요. 대구 대표시장으로 먹을거리 볼거리가 많이 있습니다. 가족과 함께 야시장 구경도 너무 재미있고 음식도 다 맛있어서 너무 좋았습니다. 야시장 가고싶어서 갔는데 다른 야시장보다는 먹거리가 작았어요. 그래도 먹는 곳이나 조명 시설은 잘해둬서 좋았습니다 칠성시장에 먹거리가 많아서 좋아요 시장 규모도 커서 장보기도 좋고 족발이 맛있어요 야시장 구경도 재밌어요","칠성시장https://www.buk.daegu.kr
별별상상 칠성야시장http://7starnm.com/html",,,,,,,장애인 화장실 있음,,,,,장애인 주차장 있음_무장애 편의시설,,,,,,점자유도로 있음_시각장애인 편의시설,수유실 있음(만남의 장소),,,,,,,,,,,,,,,,칠성전자주방시장 / 대구능금시장 / 삼성시장 / 대구청과시장 / 칠성시장 / 장어골목 / 완구골목 / 칠성원시장 / 칠성진 / 경명시장 /칠성본시장 /칠성강변시장 /주방용품골목 / 별별상상야시장,,,,,
