place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,체험 프로그램,화장실,시설이용료,review,주차 요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,이용가능시설,이용요금,입장료,수용인원,체험프로그램,관람석,점자 블록,"영유아가족
기타상세",지정현황,주요시설,코스안내,휠체어,시각장애 기타상세,유도안내 설비,유모차,대중 교통,수유실,점자 홍보물,안내 요원,매표소,개장기간,부대시설
대율리 송림,"대구에서 팔공산 방향으로 한티재에서 약 10분 정도 가면 대율리 전통마을이 있다. 약 16,529m²(5,000평)의 송림은 예로부터 대율리에서 빼놓을 수 없는 중요한 곳으로 동제를 드리는 솟대가 있는 신성한 곳임과 동시에 누구나 와서 휴식을 즐길 수 있는 자연 휴양지라 할 수 있다. 그리고 홍천뢰 장군 추모비와 홍영섭 효자비는 애국과 효를 배울 수 있는 좋은 학습장이 되며, 대율 초등학교 건너편의 송림의 넓고 푸른 잔디와 그 옆을 흐르는 팔공산 물줄기와 체육시설과 놀이시설은 가족들의 피서나 소풍 장소로 제격인 조건을 고루 갖추고 있다. 그래서 수련장, 학습장, 단체 야유회로도 많이 활용하고 있다. 주변 문화 관광지로는 삼존 석굴(제2 석굴암), 팔공산 도립공원, 동산계곡, 대율리 전통마을 등이 있다.",,www.gunwi.go.kr/tour,대구광역시 군위군 부계면 대율리,상시 개방,연중무휴,"가능
요금 (무료)",,,,늦더위가 한창이지만 대율리송림숲에서는 그 바람이 마냥 시원하기만 하다 언제까지고 숲멍하며 앉아 있고 싶었다 파란하늘과 푸르디 푸른 풀과 멋들어진 소나무~~~ 눈이 정화되고 맑아지는 풍경...,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
경북동해안지질공원,"상북도 동해안을 따라 위치한 경주, 포항, 영덕, 울진의 아름답고 희소성 있는 지질·지형 유산을 보존 및 활용하고자 조성된 경북 동해안 지질공원은 동해의 발달과 연관되어 나타나는 다양한 지질·지형 명소들을 보유하고 있다. 경상북도 동해안을 따라 울진, 영덕, 포항, 경주 4개 지자체에 위치하며, 총면적이 2,629.66km로 국내 최대이다. 동해는 과거 한반도와 붙어 있던 일본이 분리되며 형성되었고, 이에 따른 지질학적 변화와 흔적이 많이 남아 있어 동해의 형성과 관련된 지구조활동으로 화산활동이 활발해 달전리 주상절리와 양남주상절리가 생기고, 화산분출물로 구룡소, 호미곶, 골굴암이 만들어졌다. 한반도와 일본 사이의 틈으로 퇴적물이 쌓여 이때 파묻힌 생물들은 철암산과 두호동에서 화석이 되었다.
동해 발달로 인한 동해안 지역은 지형 변화가 일어나 호미곶에 해안단구가 형성되고, 철암산 화석은 산꼭대기로 올라와 현재도 동해안은 거친 파도에 의해 변화하며, 영덕 해안의 절벽과 평탄한 지형은 파도와 소금기에 의해 끊임없이 깎이고 부스러지며 동해의 역동성을 반영하고 있다.


* 문의 : 053-950-7996
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료 해설 프로그램 제공(각 명소당 20명 이하 인원 제한)
- 화장실 : 있음(남녀구분)
- 장애인 편의시설 : 장애인 화장실 있음(남녀구분)
- 주차시설 : 가능",,http://www.geotourism.or.kr/,대구광역시 북구 산격동 1370-1,,,,,,,이게 왜 경북대학교 안에 있습니까? 영덕에 있어야하는건데,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은적사(대구),"은적사(隱蹟寺)는 대구광역시 남구 봉덕동에 있는 통일신라시대의 전통 사찰이며, 대한불교조계종 제9교구 본사 동화사의 말사이다.
서기 927년 신라 경애왕 3년에 창건된 절로서 은적사란 이름이 생기게 된 연유는 고려 태조 왕건과 관련이 있다. 신라말 후삼국 때 후백제 견훤이 신라를 침공하자 신라 경애왕이 고려 왕건에 구조를 요청했다.
구원병과 대구에 온 왕건은 팔공산 동화사 방면으로 가다 산기슭에서 견훤의 군대에 포위를 당해 전멸의 위기에 처했다.이 때 신숭겸의 계책으로 탈출한 왕건은 현재 은적사 대웅전 우측의 대나무 숲속에 있는 자연동굴에 숨었다.
이 굴에서 3일간 머물고 현재 안일사와 임휴사에서 쉰 왕건은 김천 황악산을 경유해 철원으로 회군했다. 그 뒤 왕위에 오른 왕건은 자신이 3일 간 숨어있으면서 위기에서 벗어날 수 있게 한 그 굴이 있던 이 곳에 당시의 고승 영조대사에게 명해 숨을 은(隱), 자취 적(跡)자로 은적사라는 절을 짓게 했다.
이것이 은적사라는 이름을 가진 유래이다.천년 고찰인 은적사 경내에는 대웅전, 요사채, 삼성각이 들어서 있으며, 특히 대웅전에 봉안되어 있는 석가모니불은 정확한 제작시기와 조각가를 알려줄 기록은 전하지 않지만 작품의 완성도가 높으며, 18세기 초반 불상 제작 방식의 일단을 드러내고 있어 대구광역시 유형문화재 제72호로 2015년 5월11일에 지정되었다.
왕건굴(은적굴)은 대웅전 우측 대나무 숲 쪽에 현존하고 있어, 소원성취와 관련해 많은 이들의 발길이 잦다고 한다.",,http://www.eunjeoksa.or.kr,대구광역시 남구 앞산순환로 574-120,,연중무휴,"있음
요금(무료)",,공원에 장애인용 화장실 있음_무장애 편의시설,,,,,,,,,대웅전 / 삼성각 / 설법전 / 법해당(요사),,,,,,,,,,,,,,,,,,,,,
가창글램핑장,"대구 인근 가창면에 위치한 글램핑장으로, 나무들로 둘러싸인 총 17채의 글램핑과 독채 펜션 2채가 있으며, 20년에 신설하여 시설 및 집기가 깨끗하고 관리가 잘되어 있다. 각 글램핑 내부에는 개별 화장실은 물론 티브이와 에어컨 등도 구비되어 있어, 편리하다. 부대시설로는 물놀이장과 산림욕 가능한 황톳길 체험장이 운영되고 있다. 가을이면 글램핑장 옆 밤나무 숲에서 밤 줍기 체험도 가능하고, 도보 10분 거리의 전 평지에서 낚시를 즐길 수 있다",,http://www.gachangglamping.net/,대구광역시 달성군 가창면 단산1길 47-1,15:00 ~ 익일 11:00,,주차가능,,,,,,,,,,,,"140,000원 ~ 330,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,"황톳길체험, 밤줍기",,,,,,,,,,,,,,,,"봄, 여름, 가을, 겨울","전기, 온수, 물놀이장, 노래방, 매점, 카페, 트램플린, 탁구장, 족구장 , 포켓볼"
달성하천습지,"낙동강과 금호강, 진천천과 대명천이 합류하는 곳에 형성된 광활한 하천습지로, 총면적은 약 2㎢에 이른다. 과거에는 범람원(홍수로 인해 하천이 거듭 범람하여 퇴적, 생성된 토양)이었으며, 현재는 개방형·폐쇄형·수로형 습지로 이루어져 있다. 달성습지에는 멸종위기 야생동물 2급인 맹꽁이와 희귀 식물인 모감주나무, 쥐방울덩굴, 붉은 배새매, 황조롱이 등을 비롯하여 약 230종의 다양한 생물종이 서식하고 있다. 2007년 대구광역시가 습지 및 야생동·식물보호구역으로 지정하여 보호하고 있으며, 습지복원과 철새서식환경복원을 위한 작업이 진행되고 있다.

* 문의 : 달성습지생태학습관 053-631-0105
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료
- 화장실 : 없음
- 주차시설 : 없음",,http://tour.daegu.go.kr,대구광역시 달성군 화원읍 구라리 1769,,,,,,,"산책하기에 길이 좋고 ""습지생테체험관""이 있어 아이들과 방문하기 좋은 곳입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
서구어린이도서관,대구시 서구의 첫 번째 구립 도서관이 이곳 서구 어린이 도서관이다. 대구광역시 서구 이현동에 위치하고 있으며 가까운 곳에 그린웨이 근린공원도 자리하고 있어 어린이들에게 열린 공간으로서는 더없이 좋은 환경을 자랑한다. 2010년 3월 10일에 개관하였으며 2019년 기능보강공사를 거쳐 12월에 서구 어린이 도서관이 재개관하였다. 특히 재개관 시 새로운 공간으로 2층 어린이 열람실 상상놀이터는 기존 디지털자료실을 보강 공사를 통해 상상 놀이터로 변신하여 신나는 체험 공간이 되었고 다양한 콘텐츠를 운영한다.,,https://library.daegu.go.kr/seogulib/index.do,대구광역시 서구 문화로 123 (이현동),"평일 09:00~18:00
주말 09:00~17:00",매주 월요일 / 일요일을 제외한 법정공휴일 / 임시공휴일 / 도서관장이 필요하다고 인정한 경우,"가능
요금(무료)",,장애인 화장실 있음(각 층),,,,,주차장에서 출입구까지 단차가 없어 휠체어 접근 가능함_무장애 편의시설,주출입구는 단차가 없어 휠체어 접근 가능함,,엘리베이터 있음,,,,,가상현실체험관,,"점자블록 있음(계단,엘리베이터)_시각장애인 편의시설","유아열람실,유아화장실 있음",,,,무료대여(1대),,,무료대여(1대),,수유실 및 수면실 있음(유아화장실 옆),점자도서 있음,,,,
행복북구문화재단 어울아트센터,"1999년 북구문화예술회관으로 시작한 어울아트센터는 북구의 발전 역사와 함께 해온 문화의 시작점이다. 리듬의 음율처럼 다채로운 높낮이를 가진 아트센터에는 425명을 수용할 수 있는 공연장과 60평의 전시장이 있다. 지난 2015년 생활문화센터를 개소하면서 작은 공연장과 야외공연장, 작은 전시장도 새롭게 마련되었다. 아트센터를 둘러싼 다양한 꽃과 나무들은 사계절마다 다른 모습으로 맞이하며, 사이사이 전시된 조각 작품과 어우러져 누구에게나 열려있는 조각공원이 된다. 이처럼 여러분의 어울아트센터는 전문적인 공연, 전시를 비롯해 생활문화예술을 경험할 수 있는 작지만 강한 복합문화공간으로 지역의 문화 지평을 넓혀가고 있다.

(출처: 행복북구문화재단 어울아트센터)",,http://www.hbcf.or.kr,대구광역시 북구 구암로 47 (관음동),※ 공연별 상이하므로 홈페이지 참고,연중무휴,가능,,"장애인 화장실 있음(손잡이, 등받침, 유아용 보호의자 있음, 미닫이문)",,,무료,"공연장 2,107㎡ / 전시실 217,3㎡",출입구까지 경사로가 설치되어 있음,주 출입구는 경사로가 있어 휠체어 접근 가능함(자동문),장애인 주차장 있음(4대/어울아트센터 주차)_무장애 편의시설,엘리베이터 있음,,※ 공연별 상이하므로 홈페이지 참고,,,,장애인 전용 관람석 있음(8석),점자블록 있음_시각장애인 편의시설,,,,,,,점자손잡이 있음(경사로 손잡이),,"버스 칠곡 1-1, 칠곡 2",,,안내요원 있음,매표소 있음,,
수성아트피아,"수성구 무학로에 위치한 문화예술 공연장으로, 공연 공간과 전시 공간, 예술 아카데미 공간으로 운영되고 있다. 공연 공간인 대극장은 흡음을 최소화하기 위해 우드 플로어링 바닥을 적용하고, 벽체는 자연 무늬목을 사용하여 곡선형 천장으로 설계함으로써 고품격 분위기를 연출하고 있다. 또한, 전문 공연장으로서 국내 최초로 디지털 전송방식을 구축하여 다양한 공연 환경을 설계하였다. 소극장은 핀란드산 자작나무를 사용해 고른 음향 분포를 가능하게 한 실내 음악 전문홀이다. 전시 공간에서는 다양한 기획전이 운영되고 있으며, 예술 아카데미에서는 예술 이론과 실기, 어린이 예술 도시 프로그램, 예술 특강 등이 이루어지고 있다. 상주 예술단체로는 수성구여성합창단, 소년소녀합창단, 청소년오케스트라가 활동 중이다. 건물 외관은 무학산의 이미지를 살려 학이 날개를 펴고 비상하는 형상으로 디자인되었으며, 야간 경관 조명과 바닥 분수와 어우러져 하나의 예술작품을 이루고 있다.",,수성아트피아 http://www.ssartpia.kr/,대구광역시 수성구 무학로 180 (지산동),※ 전시별 상이하므로 홈페이지 참고,매주 월요일,가능,,"장애인 화장실 있음(작은 공연장, 소극장 좌측)",,,무료,"대지면적 : 18,035㎡ (지하2층, 지상3층)
건축면적 : 3,658.21㎡",출입구까지 턱이 없어 휠체어 접근 가능함(완만한 경사로),주 출입구 턱이 없어 휠체어 접근 가능함(자동문),장애인 주차장 있음(지상 5대 / 지하 4대),엘리베이터 및 휠체어 리프트 있음,,※ 전시별 상이하므로 홈페이지 참고,,"공연장 : 대공연장(용지홀) 1,159석 / 소공연장(무학홀) 301석
전시실 : 대전시실(호반갤러리) 97평 / 소전시실(멀티아트홀) 35평 / 예술아카데미",연극놀이터 / 미술탐탐 / 어린이 건축학교 등,"장애인 전용 관람석 있음(대극장 12석, 소극장 4석)","점자블록 있음(엘리베이터, 공연장)_시각장애인 편의시설",유아용 화장실 있음(기저귀 교환대 설치),,,,대여 가능(1대/대극장 로비),,,,동대구역에서 버스 814번 탑승 또는 대구도시철도 3호선 수성못역 1번 출구에서 도보로 이동,,점자 표지판 있음,안내요원 있음(안내데스크),매표소 있음,,
달성하천습지,"낙동강과 금호강, 진천천과 대명천이 합류하는 곳에 형성된 광활한 하천습지로, 총면적은 약 2㎢에 이른다. 과거에는 범람원(홍수로 인해 하천이 거듭 범람하여 퇴적, 생성된 토양)이었으며, 현재는 개방형·폐쇄형·수로형 습지로 이루어져 있다. 달성습지에는 멸종위기 야생동물 2급인 맹꽁이와 희귀 식물인 모감주나무, 쥐방울덩굴, 붉은 배새매, 황조롱이 등을 비롯하여 약 230종의 다양한 생물종이 서식하고 있다. 2007년 대구광역시가 습지 및 야생동·식물보호구역으로 지정하여 보호하고 있으며, 습지복원과 철새서식환경복원을 위한 작업이 진행되고 있다.

* 문의 : 달성습지생태학습관 053-631-0105
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료
- 화장실 : 없음
- 주차시설 : 없음",,http://tour.daegu.go.kr,대구광역시 달성군 화원읍 구라리 1769,,,,,,,"산책하기에 길이 좋고 ""습지생테체험관""이 있어 아이들과 방문하기 좋은 곳입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북동해안지질공원,"상북도 동해안을 따라 위치한 경주, 포항, 영덕, 울진의 아름답고 희소성 있는 지질·지형 유산을 보존 및 활용하고자 조성된 경북 동해안 지질공원은 동해의 발달과 연관되어 나타나는 다양한 지질·지형 명소들을 보유하고 있다. 경상북도 동해안을 따라 울진, 영덕, 포항, 경주 4개 지자체에 위치하며, 총면적이 2,629.66km로 국내 최대이다. 동해는 과거 한반도와 붙어 있던 일본이 분리되며 형성되었고, 이에 따른 지질학적 변화와 흔적이 많이 남아 있어 동해의 형성과 관련된 지구조활동으로 화산활동이 활발해 달전리 주상절리와 양남주상절리가 생기고, 화산분출물로 구룡소, 호미곶, 골굴암이 만들어졌다. 한반도와 일본 사이의 틈으로 퇴적물이 쌓여 이때 파묻힌 생물들은 철암산과 두호동에서 화석이 되었다.
동해 발달로 인한 동해안 지역은 지형 변화가 일어나 호미곶에 해안단구가 형성되고, 철암산 화석은 산꼭대기로 올라와 현재도 동해안은 거친 파도에 의해 변화하며, 영덕 해안의 절벽과 평탄한 지형은 파도와 소금기에 의해 끊임없이 깎이고 부스러지며 동해의 역동성을 반영하고 있다.


* 문의 : 053-950-7996
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료 해설 프로그램 제공(각 명소당 20명 이하 인원 제한)
- 화장실 : 있음(남녀구분)
- 장애인 편의시설 : 장애인 화장실 있음(남녀구분)
- 주차시설 : 가능",,http://www.geotourism.or.kr/,대구광역시 북구 산격동 1370-1,,,,,,,이게 왜 경북대학교 안에 있습니까? 영덕에 있어야하는건데,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은적사(대구),"은적사(隱蹟寺)는 대구광역시 남구 봉덕동에 있는 통일신라시대의 전통 사찰이며, 대한불교조계종 제9교구 본사 동화사의 말사이다.
서기 927년 신라 경애왕 3년에 창건된 절로서 은적사란 이름이 생기게 된 연유는 고려 태조 왕건과 관련이 있다. 신라말 후삼국 때 후백제 견훤이 신라를 침공하자 신라 경애왕이 고려 왕건에 구조를 요청했다.
구원병과 대구에 온 왕건은 팔공산 동화사 방면으로 가다 산기슭에서 견훤의 군대에 포위를 당해 전멸의 위기에 처했다.이 때 신숭겸의 계책으로 탈출한 왕건은 현재 은적사 대웅전 우측의 대나무 숲속에 있는 자연동굴에 숨었다.
이 굴에서 3일간 머물고 현재 안일사와 임휴사에서 쉰 왕건은 김천 황악산을 경유해 철원으로 회군했다. 그 뒤 왕위에 오른 왕건은 자신이 3일 간 숨어있으면서 위기에서 벗어날 수 있게 한 그 굴이 있던 이 곳에 당시의 고승 영조대사에게 명해 숨을 은(隱), 자취 적(跡)자로 은적사라는 절을 짓게 했다.
이것이 은적사라는 이름을 가진 유래이다.천년 고찰인 은적사 경내에는 대웅전, 요사채, 삼성각이 들어서 있으며, 특히 대웅전에 봉안되어 있는 석가모니불은 정확한 제작시기와 조각가를 알려줄 기록은 전하지 않지만 작품의 완성도가 높으며, 18세기 초반 불상 제작 방식의 일단을 드러내고 있어 대구광역시 유형문화재 제72호로 2015년 5월11일에 지정되었다.
왕건굴(은적굴)은 대웅전 우측 대나무 숲 쪽에 현존하고 있어, 소원성취와 관련해 많은 이들의 발길이 잦다고 한다.",,http://www.eunjeoksa.or.kr,대구광역시 남구 앞산순환로 574-120,,연중무휴,"있음
요금(무료)",,공원에 장애인용 화장실 있음_무장애 편의시설,,,,,,,,,대웅전 / 삼성각 / 설법전 / 법해당(요사),,,,,,,,,,,,,,,,,,,,,
가창글램핑장,"대구 인근 가창면에 위치한 글램핑장으로, 나무들로 둘러싸인 총 17채의 글램핑과 독채 펜션 2채가 있으며, 20년에 신설하여 시설 및 집기가 깨끗하고 관리가 잘되어 있다. 각 글램핑 내부에는 개별 화장실은 물론 티브이와 에어컨 등도 구비되어 있어, 편리하다. 부대시설로는 물놀이장과 산림욕 가능한 황톳길 체험장이 운영되고 있다. 가을이면 글램핑장 옆 밤나무 숲에서 밤 줍기 체험도 가능하고, 도보 10분 거리의 전 평지에서 낚시를 즐길 수 있다",,http://www.gachangglamping.net/,대구광역시 달성군 가창면 단산1길 47-1,15:00 ~ 익일 11:00,,주차가능,,,,,,,,,,,,"140,000원 ~ 330,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,"황톳길체험, 밤줍기",,,,,,,,,,,,,,,,"봄, 여름, 가을, 겨울","전기, 온수, 물놀이장, 노래방, 매점, 카페, 트램플린, 탁구장, 족구장 , 포켓볼"
달성하천습지,"낙동강과 금호강, 진천천과 대명천이 합류하는 곳에 형성된 광활한 하천습지로, 총면적은 약 2㎢에 이른다. 과거에는 범람원(홍수로 인해 하천이 거듭 범람하여 퇴적, 생성된 토양)이었으며, 현재는 개방형·폐쇄형·수로형 습지로 이루어져 있다. 달성습지에는 멸종위기 야생동물 2급인 맹꽁이와 희귀 식물인 모감주나무, 쥐방울덩굴, 붉은 배새매, 황조롱이 등을 비롯하여 약 230종의 다양한 생물종이 서식하고 있다. 2007년 대구광역시가 습지 및 야생동·식물보호구역으로 지정하여 보호하고 있으며, 습지복원과 철새서식환경복원을 위한 작업이 진행되고 있다.

* 문의 : 달성습지생태학습관 053-631-0105
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료
- 화장실 : 없음
- 주차시설 : 없음",,http://tour.daegu.go.kr,대구광역시 달성군 화원읍 구라리 1769,,,,,,,"산책하기에 길이 좋고 ""습지생테체험관""이 있어 아이들과 방문하기 좋은 곳입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
서구어린이도서관,대구시 서구의 첫 번째 구립 도서관이 이곳 서구 어린이 도서관이다. 대구광역시 서구 이현동에 위치하고 있으며 가까운 곳에 그린웨이 근린공원도 자리하고 있어 어린이들에게 열린 공간으로서는 더없이 좋은 환경을 자랑한다. 2010년 3월 10일에 개관하였으며 2019년 기능보강공사를 거쳐 12월에 서구 어린이 도서관이 재개관하였다. 특히 재개관 시 새로운 공간으로 2층 어린이 열람실 상상놀이터는 기존 디지털자료실을 보강 공사를 통해 상상 놀이터로 변신하여 신나는 체험 공간이 되었고 다양한 콘텐츠를 운영한다.,,https://library.daegu.go.kr/seogulib/index.do,대구광역시 서구 문화로 123 (이현동),"평일 09:00~18:00
주말 09:00~17:00",매주 월요일 / 일요일을 제외한 법정공휴일 / 임시공휴일 / 도서관장이 필요하다고 인정한 경우,"가능
요금(무료)",,장애인 화장실 있음(각 층),,,,,주차장에서 출입구까지 단차가 없어 휠체어 접근 가능함_무장애 편의시설,주출입구는 단차가 없어 휠체어 접근 가능함,,엘리베이터 있음,,,,,가상현실체험관,,"점자블록 있음(계단,엘리베이터)_시각장애인 편의시설","유아열람실,유아화장실 있음",,,,무료대여(1대),,,무료대여(1대),,수유실 및 수면실 있음(유아화장실 옆),점자도서 있음,,,,
행복북구문화재단 어울아트센터,"1999년 북구문화예술회관으로 시작한 어울아트센터는 북구의 발전 역사와 함께 해온 문화의 시작점이다. 리듬의 음율처럼 다채로운 높낮이를 가진 아트센터에는 425명을 수용할 수 있는 공연장과 60평의 전시장이 있다. 지난 2015년 생활문화센터를 개소하면서 작은 공연장과 야외공연장, 작은 전시장도 새롭게 마련되었다. 아트센터를 둘러싼 다양한 꽃과 나무들은 사계절마다 다른 모습으로 맞이하며, 사이사이 전시된 조각 작품과 어우러져 누구에게나 열려있는 조각공원이 된다. 이처럼 여러분의 어울아트센터는 전문적인 공연, 전시를 비롯해 생활문화예술을 경험할 수 있는 작지만 강한 복합문화공간으로 지역의 문화 지평을 넓혀가고 있다.

(출처: 행복북구문화재단 어울아트센터)",,http://www.hbcf.or.kr,대구광역시 북구 구암로 47 (관음동),※ 공연별 상이하므로 홈페이지 참고,연중무휴,가능,,"장애인 화장실 있음(손잡이, 등받침, 유아용 보호의자 있음, 미닫이문)",,,무료,"공연장 2,107㎡ / 전시실 217,3㎡",출입구까지 경사로가 설치되어 있음,주 출입구는 경사로가 있어 휠체어 접근 가능함(자동문),장애인 주차장 있음(4대/어울아트센터 주차)_무장애 편의시설,엘리베이터 있음,,※ 공연별 상이하므로 홈페이지 참고,,,,장애인 전용 관람석 있음(8석),점자블록 있음_시각장애인 편의시설,,,,,,,점자손잡이 있음(경사로 손잡이),,"버스 칠곡 1-1, 칠곡 2",,,안내요원 있음,매표소 있음,,
수성아트피아,"수성구 무학로에 위치한 문화예술 공연장으로, 공연 공간과 전시 공간, 예술 아카데미 공간으로 운영되고 있다. 공연 공간인 대극장은 흡음을 최소화하기 위해 우드 플로어링 바닥을 적용하고, 벽체는 자연 무늬목을 사용하여 곡선형 천장으로 설계함으로써 고품격 분위기를 연출하고 있다. 또한, 전문 공연장으로서 국내 최초로 디지털 전송방식을 구축하여 다양한 공연 환경을 설계하였다. 소극장은 핀란드산 자작나무를 사용해 고른 음향 분포를 가능하게 한 실내 음악 전문홀이다. 전시 공간에서는 다양한 기획전이 운영되고 있으며, 예술 아카데미에서는 예술 이론과 실기, 어린이 예술 도시 프로그램, 예술 특강 등이 이루어지고 있다. 상주 예술단체로는 수성구여성합창단, 소년소녀합창단, 청소년오케스트라가 활동 중이다. 건물 외관은 무학산의 이미지를 살려 학이 날개를 펴고 비상하는 형상으로 디자인되었으며, 야간 경관 조명과 바닥 분수와 어우러져 하나의 예술작품을 이루고 있다.",,수성아트피아 http://www.ssartpia.kr/,대구광역시 수성구 무학로 180 (지산동),※ 전시별 상이하므로 홈페이지 참고,매주 월요일,가능,,"장애인 화장실 있음(작은 공연장, 소극장 좌측)",,,무료,"대지면적 : 18,035㎡ (지하2층, 지상3층)
건축면적 : 3,658.21㎡",출입구까지 턱이 없어 휠체어 접근 가능함(완만한 경사로),주 출입구 턱이 없어 휠체어 접근 가능함(자동문),장애인 주차장 있음(지상 5대 / 지하 4대),엘리베이터 및 휠체어 리프트 있음,,※ 전시별 상이하므로 홈페이지 참고,,"공연장 : 대공연장(용지홀) 1,159석 / 소공연장(무학홀) 301석
전시실 : 대전시실(호반갤러리) 97평 / 소전시실(멀티아트홀) 35평 / 예술아카데미",연극놀이터 / 미술탐탐 / 어린이 건축학교 등,"장애인 전용 관람석 있음(대극장 12석, 소극장 4석)","점자블록 있음(엘리베이터, 공연장)_시각장애인 편의시설",유아용 화장실 있음(기저귀 교환대 설치),,,,대여 가능(1대/대극장 로비),,,,동대구역에서 버스 814번 탑승 또는 대구도시철도 3호선 수성못역 1번 출구에서 도보로 이동,,점자 표지판 있음,안내요원 있음(안내데스크),매표소 있음,,
경북동해안지질공원,"상북도 동해안을 따라 위치한 경주, 포항, 영덕, 울진의 아름답고 희소성 있는 지질·지형 유산을 보존 및 활용하고자 조성된 경북 동해안 지질공원은 동해의 발달과 연관되어 나타나는 다양한 지질·지형 명소들을 보유하고 있다. 경상북도 동해안을 따라 울진, 영덕, 포항, 경주 4개 지자체에 위치하며, 총면적이 2,629.66km로 국내 최대이다. 동해는 과거 한반도와 붙어 있던 일본이 분리되며 형성되었고, 이에 따른 지질학적 변화와 흔적이 많이 남아 있어 동해의 형성과 관련된 지구조활동으로 화산활동이 활발해 달전리 주상절리와 양남주상절리가 생기고, 화산분출물로 구룡소, 호미곶, 골굴암이 만들어졌다. 한반도와 일본 사이의 틈으로 퇴적물이 쌓여 이때 파묻힌 생물들은 철암산과 두호동에서 화석이 되었다.
동해 발달로 인한 동해안 지역은 지형 변화가 일어나 호미곶에 해안단구가 형성되고, 철암산 화석은 산꼭대기로 올라와 현재도 동해안은 거친 파도에 의해 변화하며, 영덕 해안의 절벽과 평탄한 지형은 파도와 소금기에 의해 끊임없이 깎이고 부스러지며 동해의 역동성을 반영하고 있다.


* 문의 : 053-950-7996
* 관련 홈페이지 :

◎이용안내
- 이용요금 : 무료 해설 프로그램 제공(각 명소당 20명 이하 인원 제한)
- 화장실 : 있음(남녀구분)
- 장애인 편의시설 : 장애인 화장실 있음(남녀구분)
- 주차시설 : 가능",,http://www.geotourism.or.kr/,대구광역시 북구 산격동 1370-1,,,,,,,이게 왜 경북대학교 안에 있습니까? 영덕에 있어야하는건데,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은적사(대구),"은적사(隱蹟寺)는 대구광역시 남구 봉덕동에 있는 통일신라시대의 전통 사찰이며, 대한불교조계종 제9교구 본사 동화사의 말사이다.
서기 927년 신라 경애왕 3년에 창건된 절로서 은적사란 이름이 생기게 된 연유는 고려 태조 왕건과 관련이 있다. 신라말 후삼국 때 후백제 견훤이 신라를 침공하자 신라 경애왕이 고려 왕건에 구조를 요청했다.
구원병과 대구에 온 왕건은 팔공산 동화사 방면으로 가다 산기슭에서 견훤의 군대에 포위를 당해 전멸의 위기에 처했다.이 때 신숭겸의 계책으로 탈출한 왕건은 현재 은적사 대웅전 우측의 대나무 숲속에 있는 자연동굴에 숨었다.
이 굴에서 3일간 머물고 현재 안일사와 임휴사에서 쉰 왕건은 김천 황악산을 경유해 철원으로 회군했다. 그 뒤 왕위에 오른 왕건은 자신이 3일 간 숨어있으면서 위기에서 벗어날 수 있게 한 그 굴이 있던 이 곳에 당시의 고승 영조대사에게 명해 숨을 은(隱), 자취 적(跡)자로 은적사라는 절을 짓게 했다.
이것이 은적사라는 이름을 가진 유래이다.천년 고찰인 은적사 경내에는 대웅전, 요사채, 삼성각이 들어서 있으며, 특히 대웅전에 봉안되어 있는 석가모니불은 정확한 제작시기와 조각가를 알려줄 기록은 전하지 않지만 작품의 완성도가 높으며, 18세기 초반 불상 제작 방식의 일단을 드러내고 있어 대구광역시 유형문화재 제72호로 2015년 5월11일에 지정되었다.
왕건굴(은적굴)은 대웅전 우측 대나무 숲 쪽에 현존하고 있어, 소원성취와 관련해 많은 이들의 발길이 잦다고 한다.",,http://www.eunjeoksa.or.kr,대구광역시 남구 앞산순환로 574-120,,연중무휴,"있음
요금(무료)",,공원에 장애인용 화장실 있음_무장애 편의시설,,,,,,,,,대웅전 / 삼성각 / 설법전 / 법해당(요사),,,,,,,,,,,,,,,,,,,,,
